Temperature ( K ),density ( kg/m 3 ),Set Label,,,,,,,,,,
253.166,854.1,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
273.100015873,836,Authors: Atoyan, V. A.,Mamedov, I. A. Title: Speed and absorption of sounds, viscosity and density of methylhexylketone in relation to the temperature and pressure. Citation: Izv. Vyssh. Uchebn. Zaved., Neft Gaz,1975,18, 74-78,,
273.15,833.8,Authors: Apaev, T. A.,Kerimov, A. M.,Dzhanakhmedov, N. Kh. Title: Investigation of the p-rho-t relation for methyl hexyl ketone over a wide range of temperatures and pressures. Citation: J. Eng. Phys. (Engl. Transl.),1978,35,879,,
273.15,835.1,Authors: Behal, A. Citation: Ann. Chim. Phys.,1888,15,267,,,,,,
273.15,836.8,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
273.15,835.45,Authors: Deffet, L. Title: The Freezing Points of Organic Compounds XIII. Compounds With Seven Eight, Nine or Ten Carbon Atoms Citation: Bull. Soc. Chim. Belg.,1931,40, 385-402,,,,,
286.6419,823.2,Authors: Eykman, J. F. Citation: Natuurkd. Verh. Hollandsche Maatschappij Wet. Haarlem,1919,8, 438-555,,,,,,
288.141,822.66,Authors: Ceuterick, P. Citation: Bull. Soc. Chim. Belg.,1936,45,545,,,,,,
288.141,823.3,Authors: Deffet, L. Title: The Freezing Points of Organic Compounds XIII. Compounds With Seven Eight, Nine or Ten Carbon Atoms Citation: Bull. Soc. Chim. Belg.,1931,40, 385-402,,,,,
289.44022,820.1,Authors: Eijkman, M. J. Title: Refractometric research Citation: Recl. Trav. Chim. Pays-Bas,1893,12,157,,,,,,
290.6395,821.1,Authors: Falk, K. G. Title: The Change in Refractive Index with Temperature II. Citation: J. Am. Chem. Soc.,1909,31, 806-20,,,,,,
293.138,818.5,Authors: Bruhl, J. W. Title: The Chemical Constitution of Organic Compounds in Relation to their Density and their Ability to Propagate Light Citation: Justus Liebigs Ann. Chem.,1880,203,1,,,,,,
293.138,819.4,Authors: Cole, R. H. Title: Dielectric constants of aliphatic ketones Citation: J. Chem. Phys.,1941,9,251,,,,,,
293.138,818.7,Authors: Cook, N. C. Citation: Unpublished, Final Rep. Stand. Proj. on Oxygenated Compounds, ,1952, Penn. State Univ., College Park, PA,,,
293.138,817.9,Authors: Cowan, D. M.,Jeffery, G. H.,Vogel, A. I. Title: Physical Properties and Chemical Constitution. V. Alkyl Ketones. Citation: J. Chem. Soc.,1940, , 171-176,,
293.138,817,Authors: Ivanskii, V. I.,Dolgov, B. N. Title: New Catalysts for Obtaining Tetrahydrofuran and .gamma.-Butyrolactone from 1,4-Butanediol Citation: Zh. Prikl. Khim. (Leningrad),1963,36, 2256-61,,,
293.138,818,Authors: Kirrmann, A. Citation: C. R. Hebd. Seances Acad. Sci.,1927,185,1482,,,,,,
293.138,820.8,Authors: Lowry, T. M. Title: The rotatory dispersion power of organic compds. Part IV. Magnetic rotation and dispersion in some simple organic liquids Citation: J. Chem. Soc.,1914,105,81,,,,,,
293.138,817.1,Authors: Nazarov, I. N.,Fisher, L. B. Citation: Zh. Obshch. Khim.,1950,20,1107,,,,
