T,density (kg/m3),source
253.166,854.1,Cole 1941
273.100015873,836.0,Atoyan 1975
273.15,833.8,Apaev 1978
273.15,835.1,Behal 1888
273.15,836.8,Cole 1941
273.15,835.45,Deffet 1931
286.6419,823.2,Eykman 1919
288.141,822.66,Ceuterick 1936
288.141,823.3,Deffet 1931
289.44022,820.1,Eijkman 1893
290.6395,821.1,Falk 1909
293.138,818.5,Bruhl 1880
293.138,819.4,Cole 1941
293.138,818.7,Cook 1952
293.138,817.9,Cowan 1940
293.138,817.0,Ivanskii 1963
293.138,818.0,Kirrmann 1927
293.138,820.8,Lowry 1914
293.138,817.1,Nazarov 1950
293.138,819.02,Verhulst 1932
293.14537,818.1,Atoyan 1975
293.93768,817.9,Eykman 1895
296.1368,817.0,Stadeler 1857
297.03644,815.7,Eykman 1895
298.15,815.56,Comelli 1995
298.15,814.84,Comelli 1994
298.15,815.66,Comelli 1995
298.15,814.34,Comelli 1995
298.15,814.359,Comelli 1992
298.15,814.36,Comelli 1993
298.15,814.86,Comelli 1993
298.15,814.359,Francesconi 1993
298.15,814.34,Francesconi 1995
298.15,814.28,Liao 2010
298.15,814.32,Liao 2012
300.93488,813.3,Falk 1909
303.134,810.21,Ceuterick 1936
303.134,811.05,Deffet 1931
310.03124,805.1,Falk 1909
313.13,802.1,Cole 1941
313.140055,801.3,Apaev 1978
319.42811,797.3,Falk 1909
326.62595,791.2,Falk 1909
333.124,784.8,Cole 1941
334.624,784.8,Cowan 1940
334.624,784.4,Falk 1909
342.824,777.3,Falk 1909
353.123,767.0,Cole 1941
354.323,766.5,Eijkman 1893
361.023,763.0,Cowan 1940
373.073995,748.8,Cole 1941
373.07438,746.0,Atoyan 1975
374.284138,750.598429193,Apaev 1978
393.12037,728.0,Atoyan 1975
393.127,729.9,Cole 1941
410.6315,717.7,Eykman 1895
411.53168,716.8,Eykman 1895
413.11637,710.0,Atoyan 1975
413.132,711.1,Cole 1941
433.112685,692.0,Atoyan 1975
433.138,692.1,Cole 1941
445.44192,684.3,Schiff 1883
445.44192,684.4,Schiff 1883
476.11,650.700507293,Apaev 1978
566.041,539.333925,Apaev 1978
293.15,818.87,This
303.15,810.71,This
313.15,802.47,This
323.15,794.18,This
333.15,785.81,This
