Temperature ( K ),vapor pressure ( kPa ),Set Label,,,,,,,,,,,
263.69,0.009597,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
263.7,0.009597,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
273.48,0.02337,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
283.38,0.05347,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
293.32,0.1148,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
303.27,0.2375,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
303.27,0.2379,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
313.27,0.4625,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
323.25,0.8306,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
323.26,0.8278,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
333.22,1.445,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
342.524,2.2665,Authors: Kohlraush, K. W. F.;Koppl, F. Citation: Z. Phys. Chem. Abt. B,1934,24,370,,,,,,
343.17,2.415,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
351.74,3.766,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
361.78,5.949,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
363.15,6.39681,Authors: Abbas, R.;Gmehling, J. Title: Vapour liquid equilibria, azeotropic data, excess enthalpies, activity coefficients at infinite dilution and solid liquid equilibria for binary alcohol ketone systems Citation: Fluid Phase Equilib.,2008,267, 119 -126,,,
371.72,9.067,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
381.78,13.443,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
391.77,19.227,Authors: Guetachew, T.;Mokbel, I.;Meille, J. -P.;Jose, J. Title: Vapor pressures and sublimation pressures of naphthalene and of five alkan- 2-ones (C4, C5, C7, C8, C9) at pressures in the range from 0.3 Pa to 160 kPa Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 249-54
