T,psat,source
263.69,0.009597,Guetachew 1995 1995 1995
263.7,0.009597,Guetachew 1995 1995 1995
273.48,0.02337,Guetachew 1995 1995 1995
283.38,0.05347,Guetachew 1995 1995 1995
293.32,0.1148,Guetachew 1995 1995 1995
303.27,0.2375,Guetachew 1995 1995 1995
303.27,0.2379,Guetachew 1995 1995 1995
313.27,0.4625,Guetachew 1995 1995 1995
323.25,0.8306,Guetachew 1995 1995 1995
323.26,0.8278,Guetachew 1995 1995 1995
333.22,1.445,Guetachew 1995 1995 1995
342.524,2.2665,Kohlraush 1934 1934 1934
343.17,2.415,Guetachew 1995 1995 1995
351.74,3.766,Guetachew 1995 1995 1995
361.78,5.949,Guetachew 1995 1995 1995
363.15,6.39681,Abbas 2008 2008 2008 2008
371.72,9.067,Guetachew 1995 1995 1995
381.78,13.443,Guetachew 1995 1995 1995
391.77,19.227,Guetachew 1995 1995 1995
401.88,27.586,Guetachew 1995 1995 1995
401.88,27.601,Guetachew 1995 1995 1995
411.88,38.042,Guetachew 1995 1995 1995
411.89,38.065,Guetachew 1995 1995 1995
411.89,38.091,Guetachew 1995 1995 1995
421.91,51.617,Guetachew 1995 1995 1995
421.91,51.653,Guetachew 1995 1995 1995
421.91,51.685,Guetachew 1995 1995 1995
431.92,69.093,Guetachew 1995 1995 1995
441.9,90.82,Guetachew 1995 1995 1995
443.84128,97.9919,Whitmore 1938 1938 1 1938
443.84128,97.9917,Whitmore 1938 1938 1 1938
444.1414,97.8586,Herr 1945 1945 1945 1945
444.1414,100.2584,Schlotterbeck 1908 1 1908
444.3915,101.325,Stadeler 1857 1857 1 1857
444.6416,101.325,Vogel 1946 1946 1946 1946
445.111485,101.325,Ramalho 1971 1971 19 1971
445.59198,100.6317,Schiff 1883 1883 188 1883
445.642,101.325,Brewster 1954 1954 1 1954
445.642,102.2583,Henderson 1914 1914 1914
445.642,101.325,Ivanskii 1963 1963 1 1963
445.642,101.325,Mann 1944 1944 1944 1944
445.642,101.325,Thaker 1960 1960 196 1960
445.84208,101.325,Timmermans 1921 1921 1921
445.99214,100.3518,Bruhl 1880 1880 1880 1880
445.99214,101.325,Lecat 1949 1949 1949 1949
446.04216,101.325,Lecat 1943 1943 1943 1943
446.062168,101.325,Louguinine 1898 1898 1898
446.1422,100.6584,Ceuterick 1936 1936 1936
446.1422,101.325,Lecat 1947 1947 1947 1947
446.1422,101.325,Shenton 1958 1958 19 1958
446.1422,100.3917,Von 1881 1881 1881 1 1881
446.291367,101.32,Aarna 1974 1974 1974 1974
446.34228,101.325,Cook 1952 1952 1952 1952
446.3923,101.325,Michael 1919 1919 19 1919
446.44232,101.325,Ceuterick 1936 1936 1936
446.6424,101.325,Deffet 1931 1931 193 1931
446.6424,101.325,Hurd 1947 1947 1947 1947
446.94252,102.6582,Verhulst 1932 1932 1 1932
447.04256,101.325,Kohlraush 1934 1934 1934
447.1426,101.325,Carswell 1928 1928 1 1928
447.24264,101.325,Lecat 1926 1926 1926 1926
447.24264,101.325,Lecat 1927 1927 1927 1927
447.6428,102.3916,Gulewitsch 1906 1906 1906
451.86,117.571,Guetachew 1995 1995 1995
451.86,117.544,Guetachew 1995 1995 1995
461.84,149.909,Guetachew 1995 1995 1995
