Temperature (K),density (kg/m3),source
278.16,973.52,Martins (2017)
283.14,969.54,Martins (2017)
288.14,965.53,Martins (2017)
293.14,961.52,Martins (2017)
298.14,957.5,Martins (2017)
303.14,953.49,Martins (2017)
308.14,949.48,Martins (2017)
313.14,945.46,Martins (2017)
318.14,941.45,Martins (2017)
323.14,937.43,Martins (2017)
328.14,933.4,Martins (2017)
333.14,929.38,Martins (2017)
338.14,925.34,Martins (2017)
343.14,921.31,Martins (2017)
348.14,917.27,Martins (2017)
353.14,913.22,Martins (2017)
358.14,909.16,Martins (2017)
363.14,905.09,Martins (2017)
368.14,901.01,Martins (2017)
298.15,958.79,Florido (2014)
