Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,
217,1177.03,0.4,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
217,1177.02,0.4,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
220,1166.17,0.41,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
220,1166.19,0.41,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
220,1166.16,0.41,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
220,1165.89157693,271.963909528,Liquid-Gas,Experimental,NIST,Authors: Gilgen, R.;Kleinrahm, R.;Wagner, W. Title: Supplementary measurements of the (pressure, density, temperature) relation of carbon dioxide in the homogeneous region at temperatures from 2 20 K to 360 K and pressures up to 13 MPa Citation: J. Chem. Thermodyn.,1992,24, 1243-50 (Derived),,
220.009,1166.194491,0.04664954,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
220.009,1165.8,7.41,Liquid-Gas,Experimental,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,
223.058695,1153.42968374,6.92234132877,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: Density of carbon dioxide in the liquid phase Citation: Teploenergetika,1970,17, 76 (Derived),,,,,
225,1147.73,0.41,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
