Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
173.185,894.1,0.5,Liquid-Gas,Experimental,NIST,Authors: Smyth, C. P.;Stoops, W. N. Title: The Dielectric Polarization of Liquids VI. Ethyl Iodide, Ethanol, Normal-Butanol and Normal-Octanol Citation: J. Am. Chem. Soc.,1929,51,3312,,,,,,,
233.15848492,840.29,2.23,Liquid-Gas,Experimental,NIST,Authors: Schroeder, M. R.;Poling, B. E.;Manley, D. B. Title: Ethanol densities between -50 and 20. degree C. Citation: J. Chem. Eng. Data,1982,27, 256-258,,,,,,,,
233.182,840.6,4.2,Liquid-Gas,Experimental,NIST,Authors: Komarenko, V. G.;Manzhelii, V. G.;Radtsig, A. V. Title: Density and Viscosity of Normal Alcohols at Low Temperatures Citation: Ukr. Fiz. Zh.,1967,12,676,,,,,,,,
253.05439,823.2,5.4,Liquid-Gas,Experimental,NIST,Authors: Katayama, T.;Nitta, T. Title: Solubilities of hydrogen and nitrogen in alcohols and n-Hexane. Citation: J. Chem. Eng. Data,1976,21,194,,,,,,,,,
253.15,823.5,0.1,Liquid-Gas,Experimental,NIST,Authors: Sun, T. F.;Schouten, J. A.;Biswas, S. N. Title: Determination of the thermodynamic properties of liquid ethanol from 193 to 263 K and up to 280 MPa from speed-of-sound measurements Citation: Int. J. Thermophys.,1991,12, 381-95,,,,,,,,
268.1,811.1,3.8,Liquid-Gas,Experimental,NIST,Authors: Rehman, H.;Ansari, M. S. Title: Density, Viscosity, and Electrical Conductivity Measurements on the Ternary System H2O + C2H5OH + LiCl over the Entire Ranges of Solvent Composition and LiCl Solubility from (-5 to +50) deg C Citation: J. Chem. Eng. Data,2008,53, 2072-2088,,,,,,,
268.15156996,810.6,2.1,Liquid-Gas,Experimental,NIST,Authors: Schroeder, M. R.;Poling, B. E.;Manley, D. B. Title: Ethanol densities between -50 and 20. degree C. Citation: J. Chem. Eng. Data,1982,27, 256-258,,,,,,,,
273.00012,806.2,4.8,Liquid-Gas,Experimental,NIST,Authors: Bagdasaryan, S. S. Title: Theory of nuclei of a new phase and the limits of the liquid state Citation: Zh. Fiz. Khim.,1964,38, 1816-1820,,,,,,,,,,
273.15,806.43,4.83,Liquid-Gas,Experimental,NIST,Authors: Tyrer, D. Title: CCXXXVI.--Adiabatic and Isothermal Compressibilities of Liquids between One and Two Atmospheres' Pressures. Citation: J. Chem. Soc. Trans.,1914,105,2534,,,,,,,,,,
273.15,806.3,0.3,Liquid-Gas,Experimental,NIST,Authors: Walden, P. Title: Organic solution and ionization media: III viscosity and its relationship to conductivity Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1906,55,207,,,,,,,,,
283.15,798,0.2,Liquid-Gas,Experimental,NIST,Authors: Zeberg-Mikkelsen, C. K.;Lugo, L.;Garcya, J.;Fernandez, J. Title: Volumetric properties under pressure for the binary system ethanol + toluene Citation: Fluid Phase Equilib.,2005,235, 139-151,,,,,,,
288.141,793.57,0.3,Liquid-Gas,Experimental,NIST,Authors: Doroshevskii, A. G.;Rakovskii, A. V. Title: Specific heat of alcohol and of its mixtures with water Citation: Zh. Russ. Fiz.-Khim. O-va, Chast Khim.,1908,40,860,,,,,,,,
288.141,794.3,0.4,Liquid-Gas,Experimental,NIST,Authors: Hatem, S. Title: Physicochemical Study of Some Cyclic Amino Alcohol Systems, Ethanol-Aniline Mixtures. Citation: Bull. Soc. Chim. Fr.,1949, ,483,,,,,,,,,
288.15,794.444,30,Liquid-Gas,Experimental,NIST,Authors: Iglesias, M.;Torres, A.;Gonzalez-Olmos, R.;Salvatierra, D. Title: Effect of temperature on mixing thermodynamics of a new ionic liquid: {2-Hydroxy ethylammonium formate (2-HEAF) + short hydroxylic solvents} Citation: J. Chem. Thermodyn.,2008,40, 119-133,,,,,,,
290.1398,791.4,0.5,Liquid-Gas,Experimental,NIST,Authors: Stern, O. Title: The kinetic theory of osmotic pressure of concentrated solutions and the validity of henry's law for concentrated solutions of carbon dioxide in organic solvents at low temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1913,81, 441-76,,,,,,,,,
292.23854,791.1,0.6,Liquid-Gas,Experimental,NIST,Authors: Romanov, W. Citation: Ann. Phys. (Leipzig),1913,40,281,,,,,,,,,,
292.385522,790.25,0.25,Liquid-Gas,Experimental,NIST,Authors: Sun, T. F.;Schouten, J. A.;Trappeniers, N. J.;Biswas, S. N. Title: Measurements of the densities of liquid benzene, cyclohexane, methanol, and ethanol as functions of temperature at 0.1 MPa Citation: J. Chem. Thermodyn.,1988,20,1089,,,,
293.08803,789.4,0.8,Liquid-Gas,Experimental,NIST,Authors: Morachevskii, A. G.;Rabinovich, R. Sh. Title: Liq.-vap. equil. in the system chloroform-ethyl alcohol. Citation: Zh. Prikl. Khim. (Leningrad),1959,32,458,,,,,,,,,
293.08803,789.778,0.7,Liquid-Gas,Experimental,NIST,Authors: Teitel'baum, B. Ya.;Gortalova, T. A.;Sidorova, E. E. Title: Polithermic study of surface tension of aqueus solutions of alcohols Citation: Zh. Fiz. Khim.,1951,25,911,,,,,,,,
