Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
91.018,726.953511375,0.479362684718,Liquid-Gas,Experimental,NIST,Authors: Rodosevich, J. B.;Miller, R. C. Title: Experimental Liquid Mixture Densities for Testing and Improving Correlations for Liquefied Natural Gas Citation: AIChE J.,1973,19, 729-35,,,,,,,,,,
99.826,718.777506112,1.60860882786,Liquid-Gas,Experimental,NIST,Authors: Klosek, J.;McKinley, C. Title: Densities of LNG and of Loq Molecular Weight Hydrocarbons Citation: Proc. First Int. Conference on LNG,1968, Session 5, Paper 22, Chicago,,,,,,,,,
100.9861954,717.47,0.401,Liquid-Gas,Experimental,NIST,Authors: Orrit, J. E.;Laupretre, J. M. Title: Density of liquefied natural gas components. Citation: Adv. Cryog. Eng.,1977,23,573,,,,,,,,,,
103.15963,714.9,7.2,Liquid-Gas,Experimental,NIST,Authors: Jensen, R. H.;Kurata, F. Title: Density of Liquidfied Natural Gas Citation: J. Pet. Technol.,1969,21, 683-91,,,,,,,,,,
103.15963,715.2,0.4,Liquid-Gas,Experimental,NIST,Authors: McClune, C. R. Title: Measurements of the Densities of Liquefied Hydrocarbons from 93 to 173 K Citation: Cryogenics,1976,16, 289-95,,,,,,,,,,,
105.085015,713.8069584,0.7143714,Liquid-Gas,Experimental,NIST,Authors: Haynes, W. M.;Hiza, M. J. Title: Measurements of the Orthobaric Liquid Densities of Methane, Ethane, Propane, Isobutane, and Normal Butane Citation: J. Chem. Thermodyn.,1977,9, 179-87,,,,,,
110,707.968,0.174,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,
110.011,708.816457152,0.60380673705,Liquid-Gas,Experimental,NIST,Authors: Haynes, W. M. Title: Measurements of densities and dielectric constants of liquid propane from 9 0 to 300 k at pressures to 35 mpa. Citation: J. Chem. Thermodyn.,1983,15, 419-424 (Derived),,,,,,,,,,,
122.0522039,696.272085643,1.50945253436,Liquid-Gas,Experimental,NIST,Authors: Klosek, J.;McKinley, C. Title: Densities of LNG and of Loq Molecular Weight Hydrocarbons Citation: Proc. First Int. Conference on LNG,1968, Session 5, Paper 22, Chicago,,,,,,,,,
122.2852272,695.89,0.422,Liquid-Gas,Experimental,NIST,Authors: Orrit, J. E.;Laupretre, J. M. Title: Density of liquefied natural gas components. Citation: Adv. Cryog. Eng.,1977,23,573,,,,,,,,,,
123.163315,694.92,0.4,Liquid-Gas,Experimental,NIST,Authors: McClune, C. R. Title: Measurements of the Densities of Liquefied Hydrocarbons from 93 to 173 K Citation: Cryogenics,1976,16, 289-95,,,,,,,,,,,
125.0885075,693.425325,0.6923229,Liquid-Gas,Experimental,NIST,Authors: Haynes, W. M.;Hiza, M. J. Title: Measurements of the Orthobaric Liquid Densities of Methane, Ethane, Propane, Isobutane, and Normal Butane Citation: J. Chem. Thermodyn.,1977,9, 179-87,,,,,,
143.164,674.69,0.4,Liquid-Gas,Experimental,NIST,Authors: McClune, C. R. Title: Measurements of the Densities of Liquefied Hydrocarbons from 93 to 173 K Citation: Cryogenics,1976,16, 289-95,,,,,,,,,,,
143.901,673.8,0.444,Liquid-Gas,Experimental,NIST,Authors: Orrit, J. E.;Laupretre, J. M. Title: Density of liquefied natural gas components. Citation: Adv. Cryog. Eng.,1977,23,573,,,,,,,,,,
145.089,672.8673036,0.6746841,Liquid-Gas,Experimental,NIST,Authors: Haynes, W. M.;Hiza, M. J. Title: Measurements of the Orthobaric Liquid Densities of Methane, Ethane, Propane, Isobutane, and Normal Butane Citation: J. Chem. Thermodyn.,1977,9, 179-87,,,,,,
150,667.462,0.164,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,
160.014,657.487683681,0.623392894472,Liquid-Gas,Experimental,NIST,Authors: Haynes, W. M. Title: Measurements of densities and dielectric constants of liquid propane from 9 0 to 300 k at pressures to 35 mpa. Citation: J. Chem. Thermodyn.,1983,15, 419-424 (Derived),,,,,,,,,,,
161.4,656.039394796,0.790561777206,Liquid-Gas,Experimental,NIST,Authors: Filipe, E. J. M.;Martins, L. F. G.;Soares, V.A.M.;Calado, J.C.G.;McCabe, C.;Jackson, G. Title: Thermodynamics of liquid mixtures of xenon with alkanes: (Xenon + Ethane) and (Xenon + Propane) Citation: J. Phys. Chem. B,2000,104, 1315-1321,,,,,,
163.163685,654.31,0.4,Liquid-Gas,Experimental,NIST,Authors: McClune, C. R. Title: Measurements of the Densities of Liquefied Hydrocarbons from 93 to 173 K Citation: Cryogenics,1976,16, 289-95,,,,,,,,,,,
165.9574056,651.33,0.466,Liquid-Gas,Experimental,NIST,Authors: Orrit, J. E.;Laupretre, J. M. Title: Density of liquefied natural gas components. Citation: Adv. Cryog. Eng.,1977,23,573,,,,,,,,,,
180,636.628,0.157,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,
193.3136698,622.6,0.493,Liquid-Gas,Experimental,NIST,Authors: Orrit, J. E.;Laupretre, J. M. Title: Density of liquefied natural gas components. Citation: Adv. Cryog. Eng.,1977,23,573,,,,,,,,,,
200.011,615,2.38,Liquid-Gas,Experimental,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,,,,,,
205.1952,609.7,0.486,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
209.1956,605.3,0.478,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
213.196,600.8,0.47,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
216.0323977,597.85,0.516,Liquid-Gas,Experimental,NIST,Authors: Orrit, J. E.;Laupretre, J. M. Title: Density of liquefied natural gas components. Citation: Adv. Cryog. Eng.,1977,23,573,,,,,,,,,,
217.1928,596.6,0.462,Liquid-Gas,Experimental,NIST,Authors: Seemann, F.-W.;Urban, M. Title: The density of liquid propane Citation: Erdoel, Kohle, Erdgas, Petrochem.,1963,16, 117-9,,,,,,,
