Temperature (K),density (kg/m3),source
273.10004,986.0,Jaeger (1917)
277.1476,987.2,Perkin (1896)
278.147,986.3,Perkin (1896)
282.74424,981.6,Eijkman (1893)
283.144,982.2,Perkin (1896)
288.141,978.1,Perkin (1896)
293.138,973.9,Perkin (1896)
297.53624,968.93,Perkin (1892)
298.136,969.9,Berny (1963)
298.136,968.0,Jaeger (1917)
298.136,969.4,Perkin (1896)
318.82829,952.0,Jaeger (1917)
323.127,951.0,Perkin (1896)
328.1255,946.9,Perkin (1896)
333.124,942.9,Perkin (1896)
338.124,938.9,Perkin (1896)
343.124,934.9,Perkin (1896)
343.82393,933.0,Jaeger (1917)
348.1235,930.8,Perkin (1896)
350.1233,928.8,Bernoulli (1932)
350.42327,928.36,Perkin (1892)
353.123,926.8,Perkin (1896)
353.223,925.7,Eijkman (1893)
358.123,922.6,Perkin (1896)
363.123,918.4,Perkin (1896)
363.22301,920.0,Jaeger (1917)
368.1235,914.3,Perkin (1896)
370.62375,911.8,Bernoulli (1932)
388.1265,901.0,Jaeger (1917)
408.43106,887.0,Jaeger (1917)
433.138,867.0,Jaeger (1917)
463.24904,845.0,Jaeger (1917)
484.1574,829.0,Jaeger (1917)
328.16,946.24,Martins (2017)
333.16,942.23,Martins (2017)
338.16,938.2,Martins (2017)
343.16,934.15,Martins (2017)
348.16,930.08,Martins (2017)
353.16,926.0,Martins (2017)
358.16,921.89,Martins (2017)
363.16,917.76,Martins (2017)
368.14,913.63,Martins (2017)
