Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,
201.11089,948.22,4.89,Liquid-Gas,Experimental,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,,,,,,,
209.69565,944.65,1,Liquid-Gas,Experimental,NIST,Authors: Massart, L. Title: Methods and apparatus in use at the bureau of physical-chemical scales: ix experimental research on the variation of density as a function of the temperature for a series of ten hydrocarbons Citation: Bull. Soc. Chim. Belg.,1936,45,76,,,,,,,,,,,,
220.009,932,4.74,Liquid-Gas,Experimental,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,,,,,,,
223.0896919,931.99,6.02,Liquid-Gas,Experimental,NIST,Authors: Muringer, M. J. P.;Trappeniers, N. J.;Biswas, S. N. Title: The effect of pressure on the sound velocity and density of toluene and n-heptane up to 2600 bar Citation: Phys. Chem. Liq.,1985,14, 273-296,,,,,,,,,,
225.90841,928.31,28.17,Liquid-Gas,Experimental,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,,,,,,,
243.126,913.053,0.08,Liquid-Gas,Experimental,NIST,Authors: Anonymous, R. Title: Determination of the Density/temperature Relationship of Various Industrial Chemicals Citation: Report H&D Fitzgerald Ltd. to E. Yates, Chemical Cargo Inspection Assoc., Brussels Belgium,1992,,,,,,,,,,,,
248.32,908.84,2.75,Liquid-Gas,Experimental,NIST,Authors: Avelino, H. M. T.;Fareleira, J. M. N. A.;Wakeham, W. A. Title: Simultaneous Measurement of the Density and Viscosity of Compressed Liquid Toluene Citation: Int. J. Thermophys.,2003,24, 323-336,,,,,,,,,,
250.005,905.6,4.48,Liquid-Gas,Experimental,NIST,Authors: Rabe, D. Title: Experimental determination of dynamic viscosity and density of binary liquid mixtures of n-heptane with CO2, CH4, C2H6, C3H8 and of toluene with CH4 and C3H8 Citation: Dr.Eng. Thesis, Technical University Berlin, Berlin (1981),,,,,,,,,,
251.999,904.647873962,0.694666611715,Liquid-Gas,Experimental,NIST,Authors: Magee, J. W.;Bruno, T. J. Title: Isochoric (p,.rho.,T) Measurements for Liquid Toluene from 180 K to 400 K at Pressures to 35 MPa Citation: J. Chem. Eng. Data,1996,41, 900-905 (Derived),,,,,,,,,
252.06688,904.78,0.6,Liquid-Gas,Experimental,NIST,Authors: Mason, L. S.;Paxton, H. Title: Volume changes in the methyl alcohol + toluene system Citation: J. Am. Chem. Soc.,1939,61, 67-9,,,,,,,,,,,
253.56568,903.68,1.4,Liquid-Gas,Experimental,NIST,Authors: Tonomura, T.;Uehara, K. Title: Densities of allyl alcohol, methyl-ethyl ketone and toluene at low temperatures Citation: Bull. Chem. Soc. Jpn.,1931,6, 255-258,,,,,,,,,,
258.136,899.209,0.08,Liquid-Gas,Experimental,NIST,Authors: Anonymous, R. Title: Determination of the Density/temperature Relationship of Various Industrial Chemicals Citation: Report H&D Fitzgerald Ltd. to E. Yates, Chemical Cargo Inspection Assoc., Brussels Belgium,1992,,,,,,,,,,,,
273.15,885.4,0.5,Liquid-Gas,Experimental,NIST,Authors: Burlew, J. S. Title: Measurement of the heat capacity of a small volume of liquid by the piezo- thermometric method: II coefficient of thermal expansion of benzene and of toluene measured with a new type of weight dilato Citation: J. Am. Chem. Soc.,1940,62,690,,,,,,,,,,,,
273.158,885.369,0.08,Liquid-Gas,Experimental,NIST,Authors: Anonymous, R. Title: Determination of the Density/temperature Relationship of Various Industrial Chemicals Citation: Report H&D Fitzgerald Ltd. to E. Yates, Chemical Cargo Inspection Assoc., Brussels Belgium,1992,,,,,,,,,,,,
278.15,880.7,0.18,Liquid-Gas,Experimental,NIST,Authors: Chorqzewski, M.;Grolier, J.-P. E.;Randzio, S. L. Title: Isobaric Thermal Expansivities of Toluene Measured by Scanning Transitiometry at Temperatures from (243 to 423) K and Pressures up to 200 MPa Citation: J. Chem. Eng. Data,2010,55, 5489-5496,,,,,,,,,,
283.1452,876.134,0.08,Liquid-Gas,Experimental,NIST,Authors: Anonymous, R. Title: Determination of the Density/temperature Relationship of Various Industrial Chemicals Citation: Report H&D Fitzgerald Ltd. to E. Yates, Chemical Cargo Inspection Assoc., Brussels Belgium,1992,,,,,,,,,,,,
283.998,875.075743438,0.972085313979,Liquid-Gas,Experimental,NIST,Authors: Magee, J. W.;Bruno, T. J. Title: Isochoric (p,.rho.,T) Measurements for Liquid Toluene from 180 K to 400 K at Pressures to 35 MPa Citation: J. Chem. Eng. Data,1996,41, 900-905 (Derived),,,,,,,,,
288.121012,870.4,5.5,Liquid-Gas,Experimental,NIST,Authors: Tyrer, D. Title: CCXXXVI.--Adiabatic and Isothermal Compressibilities of Liquids between One and Two Atmospheres' Pressures. Citation: J. Chem. Soc. Trans.,1914,105,2534,,,,,,,,,,,,
288.15,871.41,0.25,Liquid-Gas,Experimental,NIST,Authors: Enders, S.;Kahl, H.;Winkelmann, J. Title: Surface Tension of the Ternary System Water + Acetone + Toluene Citation: J. Chem. Eng. Data,2007,52, 1072-1079,,,,,,,,,,
288.15,871.55,0.65,Liquid-Gas,Experimental,NIST,Authors: Moravkova, L.;Linek, J. Title: Excess molar volumes of (propiophenone + toluene) and estimated density of liquid propiophenone below its melting temperature Citation: J. Chem. Thermodyn.,2006,38, 1240-1244,,,,,,,,,,,
293,867.12,0.61,Liquid-Gas,Experimental,NIST,Authors: Qin, A.;Hoffman, D. E.;Munk, P. Title: Excess volume of mixtures of alkanes with aromatic hydrocarbons Citation: J. Chem. Eng. Data,1992,37, 61-65,,,,,,,,,,
293,866.99,0.61,Liquid-Gas,Experimental,NIST,Authors: Qin, A.;Hoffman, D. E.;Munk, P. Title: Excess volume of mixtures of selected alkyl esters and ketones with aromatic hydrocarbons Citation: J. Chem. Eng. Data,1992,37, 66-70,,,,,,,,,,
293.08803,867,500,Liquid-Gas,Experimental,NIST,Authors: Garner, F. H.;Hall, R. T. W. Title: Vapor-Liquid Equilibria of C7-Hydrocarbon-furfural Systems I. Binary and Ternary Data for the System Methylcyclohexane-furfural Citation: J. Inst. Pet.,1955,41, 1-18,,,,,,,,,,,
293.09538,866.9,10.2,Liquid-Gas,Experimental,NIST,Authors: Rastorguev, Yu. L.;Pugach, V. V. Title: Study of the thermal conductivity of aromatic hydrocarbons at high pressures Citation: Izv. Vyssh. Uchebn. Zaved. Neft Gaz,1970,8, 69-72,,,,,,,,,,,
293.138,866.81,0.05,Liquid-Gas,Experimental,NIST,Authors: Forziati, A. F.;Glasgow, A. R.;Willingham, C. B.;Rossini, F. D. Title: Specification adn Properties of 29 Paraffin, 4 Alkylcyclopentanes, 10 Alkylcyclohexanes and 8 Alkylbenzene Hydrocarbons Citation: J. Res. Natl. Bur. Stand. (U. S.),1946,36,129,,,,,,,
293.138,867,0.2,Liquid-Gas,Experimental,NIST,Authors: Gibbons, L. C.;Thompson, J. F.;Reynolds, T. W.;Wright, J. I.;Chanan, H. H.;Lamberti, J. M.;Hipsher, H. F.;Karabinos, J. V. Title: The Purification and Physical Constants of Aromatic Compounds Citation: J. Am. Chem. Soc.,1946,68,1130,,,,,
293.138,866.41,4.03,Liquid-Gas,Experimental,NIST,Authors: Shraiber, L. S.;Pechenyuk, N. G. Title: TEMPERATURE VARIATION OF THE DENSITY OF CERTAIN ORGANIC LIQUIDS Citation: Zh. Fiz. Khim.,1965,39,429,,,,,,,,,,,
293.14537,866.9,4.3,Liquid-Gas,Experimental,NIST,Authors: Sperkan, V. S.;Yagupol'skii, L. M.;Rudenko, A. P.;Popov, V. K. Title: Study of the elastic properties of perfluorotoluene along the liquid-gas coexistence curve Citation: Teplofiz. Vys. Temp.,1982,20, 190-191,,,,,,,,,
