Temperature (K),Δ vap H (kJ/mol),Method,Reference,Comment,,,,,,,
329.3,29.1,N/A,Majer and Svoboda,1985,,,,,,,
308,32.1,N/A,Soni, Ramjugernath, et al.,2008,Based on data from 298. to 318. K.; AC,,,,
344,29.9,A,Stephenson and Malanowski,1987,Based on data from 329. to 488. K.; AC,,,,,,
228,32.9,A,Stephenson and Malanowski,1987,Based on data from 178. to 243. K.; AC,,,,,,
254,33.8,A,Stephenson and Malanowski,1987,Based on data from 203. to 269. K.; AC,,,,,,
338,30.6,A,Stephenson and Malanowski,1987,Based on data from 323. to 379. K.; AC,,,,,,
389,29.5,A,Stephenson and Malanowski,1987,Based on data from 374. to 464. K.; AC,,,,,,
472,29.7,A,Stephenson and Malanowski,1987,Based on data from 457. to 508. K.; AC,,,,,,
274,32.8,A,Stephenson and Malanowski,1987,Based on data from 259. to 351. K. See also Ambrose, Sprake, et al., 1974 and Ambrose, Ellender, et al., 1975 .; AC
276,32.7,A,EB,Stephenson and Malanowski,1987,Based on data from 261. to 328. K. See also Boublík and Aim, 1972 .; AC,,,,
300,31.9,EB,Baliah and Gnanasekaran,1986,Based on data from 285. to 329. K.; AC,,,,,,
373,26.1,C,Dmitriev, Kachurina, et al.,1986,AC,,,,
423,21.7,C,Dmitriev, Kachurina, et al.,1986,AC,,,,
473,15.3,C,Dmitriev, Kachurina, et al.,1986,AC,,,,
498,9.2,C,Dmitriev, Kachurina, et al.,1986,AC,,,,
319,31.8,N/A,Castellari, Francesconi, et al.,1984,Based on data from 305. to 333. K.; AC,,,,
285,32.6,N/A,Sokolov, Zhilina, et al.,1963,Based on data from 278. to 293. K.; AC,,,,
319,31.1,N/A,Brown and Smith,1957,Based on data from 310. to 329. K.; AC,,,,,,
338,29.09,C,Pennington and Kobe,1957,ALS,,,,,,
253,35,MG,Felsing and Durban,1926,Based on data from 204. to 339. K.; AC,,,,,,
293,32.1,MG,Felsing and Durban,1926,Based on data from 204. to 339. K.; AC,,,,,,
313,30.7,MG,Felsing and Durban,1926,Based on data from 204. to 339. K.; AC,,,,,,
