Temperature (K),Δ vap H (kJ/mol),Method,Reference,Comment,,,,,
351.5,38.56,N/A,Majer and Svoboda,1985,,,,,
326,41.7,N/A,Mejia, Segura, et al.,2010,Based on data from 311. to 351. K.; AC,,
338,39.3,N/A,Aucejo, Loras, et al.,1999,Based on data from 323. to 357. K.; AC,,
321,40.7,EB,Diogo, Santos, et al.,1995,Based on data from 309. to 343. K.; AC,,
357,40.5,N/A,Ortega, Susial, et al.,1990,Based on data from 342. to 357. K.; AC,,
393,35.2,C,Vine and Wormald,1989,AC,,,,
423,30.6,C,Vine and Wormald,1989,AC,,,,
453,25.7,C,Vine and Wormald,1989,AC,,,,
473,21.8,C,Vine and Wormald,1989,AC,,,,
493,17.3,C,Vine and Wormald,1989,AC,,,,
503,14.2,C,Vine and Wormald,1989,AC,,,,
320,40.9,C,Dong, Lin, et al.,1988,AC,,
328,40.4,C,Dong, Lin, et al.,1988,AC,,
335,40.2,C,Dong, Lin, et al.,1988,AC,,
344,39.4,C,Dong, Lin, et al.,1988,AC,,
351,38.8,C,Dong, Lin, et al.,1988,AC,,
335,41.3,A,Stephenson and Malanowski,1987,Based on data from 320. to 359. K.; AC,,,,
256,45.6,A,Stephenson and Malanowski,1987,Based on data from 210. to 271. K.; AC,,,,
208,44,A,Stephenson and Malanowski,1987,Based on data from 193. to 223. K.; AC,,,,
335,41.3,A,Stephenson and Malanowski,1987,Based on data from 320. to 359. K.; AC,,,,
361,40.1,A,Stephenson and Malanowski,1987,Based on data from 349. to 374. K.; AC,,,,
385,39.1,A,Stephenson and Malanowski,1987,Based on data from 370. to 464. K.; AC,,,,
474,36.1,A,Stephenson and Malanowski,1987,Based on data from 459. to 514. K.; AC,,,,
307,42.5,A,Stephenson and Malanowski,1987,Based on data from 292. to 353. K.; AC,,,,
308,42.5,A,EB,Stephenson and Malanowski,1987,Based on data from 293. to 366. K. See also Ambrose, Counsell, et al., 1970 .; AC
286,42.9,N/A,Wilhoit and Zwolinski,1973,Based on data from 271. to 373. K.; AC,,,,
320,41,C,Counsell, Fenwick, et al.,1970,AC,,
335,40,C,Counsell, Fenwick, et al.,1970,AC,,
351,38.7,C,Counsell, Fenwick, et al.,1970,AC,,
303,42.4,N/A,Van Ness, Soczek, et al.,1967,Based on data from 288. to 348. K.; AC,,
313,42.2,N/A,Kretschmer and Wiebe,1949,Based on data from 298. to 351. K.; AC,,,,
351,40,N/A,Oguri, Anjo, et al.,1934,AC,,
301,54.1,N/A,Kahlbaum,1883,Based on data from 286. to 351. K.; AC,,,,
