temperature_K,x1_I,x1_II,source
288.2,0.0000730,,Vochten and Petre
288.2,,0.7380,Tokunaga et al.
292.2,,0.7526,Stephenson et al.
293.2,,0.7329,Ratkovics et al.
293.2,,0.7350,Tokunaga et al.
293.7,0.0000680,,Stephenson et al.
298.1,,0.7320,Arce et al.
298.1,,0.7309,Arce et al.
298.2,0.0000678,,Janado et al.
298.2,0.0000670,,Kinoshita et al.
298.2,0.0000700,,Shinoda et al.
298.2,,0.7400,Ababi and Popa
298.2,,0.7309,Arce et al.
298.2,,0.7320,Arce et al.
298.2,,0.7309,Arce et al.
298.2,,0.7340,Tokunaga et al.
303.2,,0.7351,Erichsen
303.2,,0.7320,Rao et al.
303.2,,0.7330,Tokunaga et al.
303.7,,0.7468,Stephenson et al.
308.2,,0.7290,Tokunaga et al.
313.2,,0.7200,Lavrova and Lesteva
313.2,,0.7325,Stephenson et al.
313.2,,0.7270,Tokunaga et al.
323.2,,0.7278,Stephenson et al.
325.2,,0.7200,Zhuravleva et al.
333.2,0.0000800,,Lavrova and Lesteva
333.4,,0.7107,Stephenson et al.
343.3,,0.7067,Stephenson et al.
353.3,,0.7091,Stephenson et al.
356.1,,0.6860,Brown et al.
363.5,0.0001190,,Stephenson et al.
419.3,,0.5770,Brown et al.
428.2,0.0005400,,Brown et al.
452.2,0.0009950,,Brown et al.
461.2,,0.4790,Brown et al.
480.5,,0.4220,Brown et al.
501.9,,0.3400,Brown et al.
526.4,,0.2150,Brown et al.
