Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,
280.09583,0.000133056,0.0000267,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
281.5,0.000183,0.000019,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
283.27,0.0002188,0.0000958,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
283.27,0.000166,0.000095,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
284.1434,0.00026664,0.0000533,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
284.4,0.000262,0.000027,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
286.1422,0.00036664,0.0000733,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
288.5,0.000436,0.000044,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
288.74064,0.00053596,0.00011066,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
291.43902,0.00079993,0.00016,Liquid-Gas,Experimental,NIST,Authors: Spizzichino, C. Title: Vapor pressures and heats of vaporization of fatty acids, methyl esters, and fatty alcohols at pressures below 1 mm hg Citation: J. Rech. C. N. R. S.,1956, , 1-24,,,,,
