Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,
168.430725,0.11332,0.803934,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
173.345096,0.15332,0.805267,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
178.38812,0.00186651,0.0007924,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
178.58824,0.00111591,0.0004957,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
178.83839,0.18665,0.8066,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
179.88902,0.00146655,0.0006295,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
179.88902,0.00199984,0.0008421,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
180.28926,0.00142655,0.0006136,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
183.671192,0.21998,0.8066,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
185.99212,0.00373303,0.001534,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
185.99212,0.00466628,0.001908,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
186.99252,0.00382635,0.001572,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
188.84326,0.25998,0.807934,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
188.99332,0.00666612,0.002707,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
189.49352,0.00786602,0.003187,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
190.89408,0.00959921,0.00388,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
191.39428,0.00759938,0.003081,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
191.39428,0.0107991,0.00436,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
191.99452,0.00919924,0.003721,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
193.795,0.29331,0.809267,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
195.795,0.016492,0.005759,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
198.785,0.3453,0.8106,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
203.755056,0.41197,0.813266,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
208.49553,0.0873261,0.0171071,Liquid-Gas,Experimental,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
208.625543,0.47863,0.815933,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
208.69555,0.0802601,0.0159776,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
213.725576,0.57195,0.818599,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
215.694,0.15772,0.02302,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
216.09368,0.159987,0.023258,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
218.661624,0.68394,0.821266,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
222.1888,0.266645,0.031737,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
223.567772,0.84393,0.826599,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
228.158185,0.463962,0.00713,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hoepfner, A.;Hostermann, I. Title: Vapor pressure isotopy effect of D(6)-acetone Citation: Z. Phys. Chem. (Munich),1976,99,157,,,,,
228.374886,1.03591,0.833265,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
229.58416,0.517291,0.051795,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
233.057695,0.69,0.01,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hicks, P. J.;Prausnitz, J. M. Title: Solubility of acetone and isopropyl ether in compressed nitrogen, methane and carbon dioxide Citation: J. Chem. Eng. Data,1981,26, 74-80,,,,
233.157685,0.725274,0.007391,Liquid-Gas,Experimental,NIST,Authors: Hoepfner, A.;Hostermann, I. Title: Vapor pressure isotopy effect of D(6)-acetone Citation: Z. Phys. Chem. (Munich),1976,99,157,,,,,
233.291912,1.31456,0.842597,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
237.068888,0.996451,0.07986,Liquid-Gas,Experimental,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,
238.217968,1.64653,0.853263,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
238.77752,1.06391,0.09553,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
243.104056,2.15049,0.869262,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
248.100056,2.78777,0.88926,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
248.76952,2.15582,0.11455,Liquid-Gas,Experimental,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,
250.1684,3.06641,0.1333,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jacob, M. N. Title: Maximum vapor pressures of acetone. Citation: Rech. Invent.,1924, , 460-66,,,,,,
252.956168,3.57171,0.914591,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
253.355848,3.47971,0.08533,Liquid-Gas,Experimental - Rejected,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,
257.26272,3.89301,0.08666,Liquid-Gas,Experimental - Rejected,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,
257.96216,4.63962,0.949255,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
258.05339,4.005,0.026,Liquid-Gas,Experimental,NIST,Authors: Hicks, P. J.;Prausnitz, J. M. Title: Solubility of acetone and isopropyl ether in compressed nitrogen, methane and carbon dioxide Citation: J. Chem. Eng. Data,1981,26, 74-80,,,,
262.128824,5.18224,0.08933,Liquid-Gas,Experimental - Rejected,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,
262.95816,5.99417,0.991918,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
263.15237,5.34623,0.01201,Liquid-Gas,Experimental,NIST,Authors: Hoepfner, A.;Hostermann, I. Title: Vapor pressure isotopy effect of D(6)-acetone Citation: Z. Phys. Chem. (Munich),1976,99,157,,,,,
263.158,5.4662,0.1333,Liquid-Gas,Experimental - Rejected,NIST,Authors: Jacob, M. N. Title: Maximum vapor pressures of acetone. Citation: Rech. Invent.,1924, , 460-66,,,,,,
264.50692,6.04084,0.09199,Liquid-Gas,Experimental - Rejected,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,
265.0459912,6.005,0.013,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.;Sprake, C. H. S.;Townsend, R. Title: Thermodynamic Properties of Organic Oxygen Compounds XXXIII. The Vapor Pressure of Acetone Citation: J. Chem. Thermodyn.,1974,6,693,,,,
267.05488,6.85277,0.09333,Liquid-Gas,Experimental - Rejected,NIST,Authors: Felsing, W. A.;Durban, S. A. Title: The vapor pressures, densities, and some derived quantities for acetone Citation: J. Am. Chem. Soc.,1926,48,2885,,,
