Temperature (K),psat (kPa),source
394.95,3.413,Batiu (1999)
400.75,4.286,Batiu (1999)
400.85,4.313,Batiu (1999)
406.95,5.5062,Batiu (1999)
407.3,5.586,Batiu (1999)
411.35,6.599,Batiu (1999)
411.85,6.666,Batiu (1999)
411.95,6.693,Batiu (1999)
412.05,6.665,Batiu (1998)
414.5,7.433,Batiu (1999)
258.18,0.0002,Vilas-Boas (2019)
263.19,0.000372,Vilas-Boas (2019)
268.18,0.000654,Vilas-Boas (2019)
268.19,0.000653,Vilas-Boas (2019)
273.19,0.001096,Vilas-Boas (2019)
273.69,0.001136,Vilas-Boas (2019)
273.7,0.001141,Vilas-Boas (2019)
278.19,0.001789,Vilas-Boas (2019)
283.19,0.002898,Vilas-Boas (2019)
288.19,0.004581,Vilas-Boas (2019)
288.2,0.004583,Vilas-Boas (2019)
293.2,0.007142,Vilas-Boas (2019)
298.2,0.0109,Vilas-Boas (2019)
298.21,0.0109,Vilas-Boas (2019)
303.2,0.016377,Vilas-Boas (2019)
308.21,0.024143,Vilas-Boas (2019)
