Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
216.58,518,26,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
216.9609856,526.1834,52.88898,Liquid-Gas,Experimental,NIST,Authors: Meyers, C.H.;Van Dusen, M.S. Title: The Vapor Pressure of Liquid and Solid Carbon Dioxide, Citation: Refrig. Eng.,1932,13,180,1926, Bureau of Standards Journal of Research, Volume 10, pp. 381-412,,,,
217,527,26,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
217.0502959,528.2,1,Liquid-Gas,Experimental,NIST,Authors: Fernandez-Fassnacht, E.;Del Rio, F. Title: The vapour pressure of CO2 from 194 to 243 K a Citation: J. Chem. Thermodyn.,1984,16,469,,,,,,,,,
218.2939184,556.8315,0.387467,Liquid-Gas,Experimental,NIST,Authors: Michels, A.;Wassenaar, T.;Zwietering, Th. N.;Smits Title: The vapor pressure of liquid carbon dioxide Citation: Physica (Amsterdam),1950,16,501,,,,,,,,
219.1380871,577.8,1.1,Liquid-Gas,Experimental,NIST,Authors: Fernandez-Fassnacht, E.;Del Rio, F. Title: The vapour pressure of CO2 from 194 to 243 K a Citation: J. Chem. Thermodyn.,1984,16,469,,,,,,,,,
220,599,30,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
220,599,30,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
220,599,30,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
220.009,598,1,Liquid-Gas,Experimental,NIST,Authors: Brown, T. S.;Kidnay, A. J.;Sloan, E. D. Title: Vapor-liquid equilibria in the carbon dioxide-ethane system. Citation: Fluid Phase Equilib.,1988,40,169,,,,,,,,
222.048240056,652.244,1.37895,Liquid-Gas,Experimental,NIST,Authors: Adams, R. A.;Stein, F. P. Title: Vapor-Liquid Equilibria for Carbon Dioxide-Diflouoromethane System. Citation: J. Chem. Eng. Data,1971,16,146,,,,,,,,,
222.6544272,668.825,67.221405,Liquid-Gas,Experimental,NIST,Authors: Meyers, C.H.;Van Dusen, M.S. Title: The Vapor Pressure of Liquid and Solid Carbon Dioxide, Citation: Refrig. Eng.,1932,13,180,1926, Bureau of Standards Journal of Research, Volume 10, pp. 381-412,,,,
223.0426966,679.4,1.3,Liquid-Gas,Experimental,NIST,Authors: Fernandez-Fassnacht, E.;Del Rio, F. Title: The vapour pressure of CO2 from 194 to 243 K a Citation: J. Chem. Thermodyn.,1984,16,469,,,,,,,,,
223.10869,678.9,0,Liquid-Gas,Experimental,NIST,Authors: Christiansen, L. J.;Fredenslund, A.;Gardner, N. Title: Gas-liquid equilibria of the co(2) + co and co(2) + ch(4) + co systems Citation: Adv. Cryog. Eng.,1974,19,309,,,,,,,,
228.1909964,833.3848,83.753378,Liquid-Gas,Experimental,NIST,Authors: Meyers, C.H.;Van Dusen, M.S. Title: The Vapor Pressure of Liquid and Solid Carbon Dioxide, Citation: Refrig. Eng.,1932,13,180,1926, Bureau of Standards Journal of Research, Volume 10, pp. 381-412,,,,
229.248076,871.39,15.2,Liquid-Gas,Experimental,NIST,Authors: Liu, K.F. Title: Phase Equilibria in the Helium-Carbon Dioxide, -Argon, -Methane, -Nitrogen, and -Oxygen Systems Citation: Ph.D. Thesis, Georgia Institute of Technology, Atlanta GA (1969),,,,,,,
230,893,45,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
230,892,22,Liquid-Gas,Experimental,NIST,Authors: Wei, M. S.-W.;Brown, T. S.;Kidnay, A. J.;Sloan, E. D. Title: Vapor + Liquid Equilibria for the Ternary System Methane + Ethane + Carbon Dioxide at 230 K and Its Constituent Binaries at Temperatures from 207 to 270 K Citation: J. Chem. Eng. Data,1995,40, 726-731,,,,,,,
232.7267281,988.9,1.8,Liquid-Gas,Experimental,NIST,Authors: Fernandez-Fassnacht, E.;Del Rio, F. Title: The vapour pressure of CO2 from 194 to 243 K a Citation: J. Chem. Thermodyn.,1984,16,469,,,,,,,,,
233.0655,1000.72,2.42,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,,,,,
233.2109768,1007.2638,101.232341,Liquid-Gas,Experimental,NIST,Authors: Meyers, C.H.;Van Dusen, M.S. Title: The Vapor Pressure of Liquid and Solid Carbon Dioxide, Citation: Refrig. Eng.,1932,13,180,1926, Bureau of Standards Journal of Research, Volume 10, pp. 381-412,,,,
235,1075,54,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,,,,,
238.1899904,1204.2476,121.03005,Liquid-Gas,Experimental,NIST,Authors: Meyers, C.H.;Van Dusen, M.S. Title: The Vapor Pressure of Liquid and Solid Carbon Dioxide, Citation: Refrig. Eng.,1932,13,180,1926, Bureau of Standards Journal of Research, Volume 10, pp. 381-412,,,,
239.932,1280.4,1.3,Liquid-Gas,Experimental,NIST,Authors: Yurttas, L.;Holste, J. C.;Hall, K. R.;Gammon, B. E.;Marsh, K. N. Title: Semiautomatic Isochoric Apparatus for p-V-T and Phase Equilibrium Studies Citation: J. Chem. Eng. Data,1994,39, 418-423,,,,,,
