Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
173.88542,0.00016799,0.00011999,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
176.88722,9.33E-06,2.67E-05,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
177.48758,0.00023198,0.00014532,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
181.38992,0.00031864,0.00017865,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
188.49312,0.00058395,0.00028131,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
189.39348,0.00035997,0.00019465,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
189.79364,0.00039997,0.00020932,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
191.6944,0.0007946,0.0003653,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
202.295,0.00231981,0.00097059,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
208.69555,0.00199984,0.0008426,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
208.79556,0.00213316,0.00089593,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
208.79556,0.00306641,0.00127056,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
226.08626,0.02186487,0.00661946,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
226.1862,0.02253148,0.00672611,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
229.6841,0.03319727,0.00843264,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
229.6841,0.03386388,0.0085393,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
232.1826,0.03946342,0.00943522,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
233.88144,0.05172908,0.0113991,Liquid-Gas,Experimental - Rejected,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
