T (K),psat (kPa),source
526.67205,101.325,Perkin
351.55,0.1333,Stull
381.25,0.6666,Stull
396.15,1.3332,Stull
411.15,2.6664,Stull
428.95,5.3329,Stull
440.45,7.9993,Stull
455.35,11.999,Stull
477.85,26.6645,Stull
501.45,53.3289,Stull
526.65,101.325,Stull
281.1,0.0003,Russo
283.7,0.00039,Russo
289.0,0.00066,Russo
293.9,0.00111,Russo
298.9,0.00179,Russo
303.7,0.00287,Russo
308.7,0.00447,Russo
313.7,0.00709,Russo
318.9,0.01038,Russo
323.6,0.01507,Russo
328.6,0.02241,Russo
333.6,0.03329,Russo
338.5,0.04891,Russo
343.5,0.06869,Russo
424.05,3.7,Rodrigues
426.95,4.2,Rodrigues
429.85,4.8,Rodrigues
430.75,5.0,Rodrigues
433.55,5.6,Rodrigues
435.55,6.1,Rodrigues
437.05,6.5,Rodrigues
439.45,7.2,Rodrigues
441.85,7.9,Rodrigues
442.85,8.3,Rodrigues
443.55,8.5,Rodrigues
445.25,9.1,Rodrigues
446.35,9.4,Rodrigues
447.85,9.9,Rodrigues
449.85,10.7,Rodrigues
450.85,11.1,Rodrigues
453.05,12.0,Rodrigues
454.85,12.8,Rodrigues
455.85,13.2,Rodrigues
457.35,14.0,Rodrigues
459.15,14.9,Rodrigues
461.15,15.8,Rodrigues
464.25,17.5,Rodrigues
468.35,19.1,Rodrigues
469.65,20.0,Rodrigues
273.7,0.000153,Vilas-Boas
273.7,0.000153,Vilas-Boas
273.7,0.000152,Vilas-Boas
278.19,0.000252,Vilas-Boas
278.19,0.000251,Vilas-Boas
278.19,0.000252,Vilas-Boas
283.19,0.000451,Vilas-Boas
283.19,0.000443,Vilas-Boas
283.19,0.000444,Vilas-Boas
288.19,0.000723,Vilas-Boas
288.19,0.000724,Vilas-Boas
288.19,0.000725,Vilas-Boas
293.2,0.001256,Vilas-Boas
293.2,0.001233,Vilas-Boas
293.2,0.001223,Vilas-Boas
298.2,0.00193,Vilas-Boas
298.2,0.001938,Vilas-Boas
298.2,0.001934,Vilas-Boas
303.2,0.00307,Vilas-Boas
303.2,0.003081,Vilas-Boas
303.2,0.003077,Vilas-Boas
308.2,0.004871,Vilas-Boas
308.21,0.004864,Vilas-Boas
308.21,0.004868,Vilas-Boas
