Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,
85.5,1.63E-07,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
93.17,0.0001,0.0001,Liquid-Gas,Experimental - Rejected,NIST,Authors: Delaplace, R. Title: Vapor Pressures of Saturated and Unsaturated Hydrocarbon Gases to Low Temperatures Citation: C. R. Hebd. Seances Acad. Sci.,1937,204,493,,,,,,,,,,,,,,
94,3.94E-06,3.11E-07,Liquid-Gas,Experimental,NIST,Authors: Perkins, R. A.;Ochoa, J. C. S.;Magee, J. W. Title: Thermodynamic Properties of Propane. II. Molar Heat Capacity at Constant Volume from (85 to 345) K with Pressures to 35 MPa Citation: J. Chem. Eng. Data,2009,54, 3192-3201,,,,,,,,,,,,
94.008,3.84E-06,0,Liquid-Gas,Experimental,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
94.548,6.64E-06,8.53E-07,Liquid-Gas,Experimental - Rejected,NIST,Authors: Carruth, G. F.;Kobayashi, R. Title: Vapor pressure of normal paraffins ethane through n-decane from their triple points to about 10 mm Hg Citation: J. Chem. Eng. Data,1973,18, 115-26,,,,,,,,,,,,,
97.1688,0.0002,0.00015,Liquid-Gas,Experimental - Rejected,NIST,Authors: Delaplace, R. Title: Vapor Pressures of Saturated and Unsaturated Hydrocarbon Gases to Low Temperatures Citation: C. R. Hebd. Seances Acad. Sci.,1937,204,493,,,,,,,,,,,,,,
103.167,0.00037,0.00024,Liquid-Gas,Experimental - Rejected,NIST,Authors: Delaplace, R. Title: Vapor Pressures of Saturated and Unsaturated Hydrocarbon Gases to Low Temperatures Citation: C. R. Hebd. Seances Acad. Sci.,1937,204,493,,,,,,,,,,,,,,
105.3648,0.00013066,2.67E-05,Liquid-Gas,Experimental - Rejected,NIST,Authors: Tickner, A. W.;Lossing, F. P. Title: The Measurement of Low Vapor Pressures by Means of A Mass Spectrometer Citation: J. Phys. Colloid Chem.,1951,55, 733-40,,,,,,,,,,,,,
108.0106,0.000212516,0,Liquid-Gas,Experimental,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
108.162,0.00045,0.00028,Liquid-Gas,Experimental - Rejected,NIST,Authors: Delaplace, R. Title: Vapor Pressures of Saturated and Unsaturated Hydrocarbon Gases to Low Temperatures Citation: C. R. Hebd. Seances Acad. Sci.,1937,204,493,,,,,,,,,,,,,,
