Temperature (K),psat (kPa),source
287.73,0.001374,Stejfa (2023)
287.78,0.001388,Stejfa (2023)
287.87,0.001398,Stejfa (2023)
293.38,0.002448,Stejfa (2023)
293.38,0.002453,Stejfa (2023)
293.39,0.002455,Stejfa (2023)
298.38,0.003969,Stejfa (2023)
298.38,0.003988,Stejfa (2023)
298.39,0.003978,Stejfa (2023)
303.36,0.006343,Stejfa (2023)
303.36,0.006332,Stejfa (2023)
303.37,0.006336,Stejfa (2023)
308.25,0.009831,Stejfa (2023)
308.25,0.00981,Stejfa (2023)
308.26,0.009812,Stejfa (2023)
313.26,0.01509,Stejfa (2023)
313.26,0.01509,Stejfa (2023)
313.26,0.0151,Stejfa (2023)
318.17,0.02263,Stejfa (2023)
318.18,0.02268,Stejfa (2023)
318.2,0.02272,Stejfa (2023)
323.06,0.03338,Stejfa (2023)
323.06,0.03342,Stejfa (2023)
323.07,0.03341,Stejfa (2023)
328.22,0.04941,Stejfa (2023)
328.22,0.04942,Stejfa (2023)
328.22,0.04945,Stejfa (2023)
333.1,0.07063,Stejfa (2023)
333.11,0.07067,Stejfa (2023)
333.12,0.07076,Stejfa (2023)
338.07,0.10027,Stejfa (2023)
338.08,0.10024,Stejfa (2023)
338.09,0.10035,Stejfa (2023)
343.1,0.14089,Stejfa (2023)
343.11,0.14092,Stejfa (2023)
343.11,0.14094,Stejfa (2023)
348.0,0.19399,Stejfa (2023)
348.12,0.19554,Stejfa (2023)
348.13,0.19565,Stejfa (2023)
353.01,0.26613,Stejfa (2023)
353.02,0.26615,Stejfa (2023)
353.02,0.26623,Stejfa (2023)
357.89,0.35782,Stejfa (2023)
357.89,0.35795,Stejfa (2023)
357.89,0.3579,Stejfa (2023)
362.85,0.47885,Stejfa (2023)
362.85,0.47891,Stejfa (2023)
362.86,0.47887,Stejfa (2023)
