Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
191.49432,0.000631948,0.0002997,Liquid-Gas,Experimental,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
215.853872,0.0068661,0.00036,Liquid-Gas,Experimental,NIST,Authors: Milazzo, G. Title: The Measurement of Small Vapor Pressure Citation: Chem.-Ing.-Tech.,1956,28,646,,,,,,,,,,
224.91,0.0195,0.0007,Liquid-Gas,Experimental,NIST,Authors: Mokbel, I.;Rauzy, E.;Meille, J. P.;Jose, J. Title: Low vapor pressures of 12 aromatic hydrocarbons. Experimental and calculated data using a group contribution method Citation: Fluid Phase Equilib.,1998,147, 271-284,,,,,,,
235.1804,0.0523957,0.0115452,Liquid-Gas,Experimental,NIST,Authors: Drucker, C.;Jimeno, E.;Kangro, W. Title: Vapor Pressures of Liquids at Low Temperatures Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1915,90,513,,,,,,,
269.6528,0.71461,0.0196251,Liquid-Gas,Experimental,NIST,Authors: Linder, E. G. Title: Vapor Pressures of Some Hydrocarbons Citation: J. Phys. Chem.,1931,35,531,,,,,,,,,,
276.059575182,1.08979,0.07999,Liquid-Gas,Experimental,NIST,Authors: Besley, L. M.;Bottomley, G. A. Title: Vapor Pressure of Toluene from 273.15 to 298.15 K Citation: J. Chem. Thermodyn.,1974,6,577,,,,,,,,,
278.147,1.29856,0.62351,Liquid-Gas,Experimental,NIST,Authors: Woringer, B. Title: Vapor Pressures of a Series of Benzene Derivatives Citation: Z. Phys. Chem., Stoechiom. Verwandschaftsl.,1900,34,257,,,,,,,,,
281.768469,1.54009,0.08104,Liquid-Gas,Experimental,NIST,Authors: Besley, L. M.;Bottomley, G. A. Title: Vapor Pressure of Toluene from 273.15 to 298.15 K Citation: J. Chem. Thermodyn.,1974,6,577,,,,,,,,,
283.15,1.666,0.056,Liquid-Gas,Experimental,NIST,Authors: Ben-makhlouf-Hakem, H.;Ait-Kaci, A.;Jose, J. Title: Isothermal vapour pressures and excess functions of 3,5- and 2,6-dimethylpyridine with toluene measurement and prediction Citation: Fluid Phase Equilib.,2006,242,01/09/26,,,,,,
284.167749,1.76252,0.02266,Liquid-Gas,Experimental,NIST,Authors: Munday, E. B.;Mullins, J. C.;Edie, D. D. Title: Vapor pressure data for toluene, 1-pentanol, 1-butanol, water, and 1-propanol and for the water and 1-propanol system from 273.15 to 323.15 K Citation: J. Chem. Eng. Data,1980,25, 191-194,,,,
284.17,1.764,0.037,Liquid-Gas,Experimental,NIST,Authors: Mokbel, I.;Rauzy, E.;Meille, J. P.;Jose, J. Title: Low vapor pressures of 12 aromatic hydrocarbons. Experimental and calculated data using a group contribution method Citation: Fluid Phase Equilib.,1998,147, 271-284,,,,,,,
286.472002,2.03983,0.02666,Liquid-Gas,Experimental,NIST,Authors: Milazzo, G. Title: Vapor Pressure of Some Organic Substances at Lower Temperatures Citation: Ann. Chim. (Rome),1956,46,1105,,,,,,,,,,
288.526441,2.27029,0.08274,Liquid-Gas,Experimental,NIST,Authors: Besley, L. M.;Bottomley, G. A. Title: Vapor Pressure of Toluene from 273.15 to 298.15 K Citation: J. Chem. Thermodyn.,1974,6,577,,,,,,,,,
293.24,2.9255,0.0165,Liquid-Gas,Experimental,NIST,Authors: Negadi, L.;Mokbel, I.;Negadi, A.;Kaci, A. A.;Jose, J.;Gmehling, J. Title: Isothermal Vapor-Liquid Equilibria and Excess Enthalpy Data for the Binary System (Butyric Acid + Toluene) Citation: J. Chem. Eng. Data,2009,54, 2045-2048,,,,,
294.335132,3.11786,0.08471,Liquid-Gas,Experimental,NIST,Authors: Besley, L. M.;Bottomley, G. A. Title: Vapor Pressure of Toluene from 273.15 to 298.15 K Citation: J. Chem. Thermodyn.,1974,6,577,,,,,,,,,
303.23,4.894,0.019,Liquid-Gas,Experimental,NIST,Authors: Ben-makhlouf-Hakem, H.;Ait-Kaci, A.;Jose, J. Title: Isothermal vapor- liquid equilibria and excess molar enthalpy of 2-methylpyrazine (2MP) containing binary mixtures. Comparison with DISQUAC predictions Citation: Fluid Phase Equilib.,2015,397, 131-140,,,,,,,,
