T,eta,phase,,,,,,,,,,,,,,,,,
293.15,0.005278,liquid,Thiswork,,,,,,,,,,,,,,,,
303.15,0.003881,liquid,Thiswork,,,,,,,,,,,,,,,,
313.15,0.002919,liquid,Thiswork,,,,,,,,,,,,,,,,
323.15,0.00224,liquid,Thiswork,,,,,,,,,,,,,,,,
333.15,0.00175,liquid,Thiswork,,,,,,,,,,,,,,,,
278,0.00864,liquid,Authors: Rodriguez, M.;Galan, M.;Munoz, M. J.;Martin, R. Title: Viscosity of triglycerides + alcohols from 278 to 313 K Citation: J. Chem. Eng. Data,1994,39, 102-105,,,,,,,,,
278.147,0.008921,liquid,Authors: Hovorka, F.;Lankelma, H. P.;Stanford, S. C. Title: Thermodynamic Properties of the Hexyl Alcoholls II. 1-, 2- and 3-Hexanols and 2-Methyl-1 and -4-pentanol Citation: J. Am. Chem. Soc.,1938,60,820,,,,,,,,,
283,0.00725,liquid,Authors: Rodriguez, M.;Galan, M.;Munoz, M. J.;Martin, R. Title: Viscosity of triglycerides + alcohols from 278 to 313 K Citation: J. Chem. Eng. Data,1994,39, 102-105,,,,,,,,,
283.15,0.007459,liquid,Authors: Oskoei, A. G.;Safaei, N.;Ghasemi, J. Title: Densities and Viscosities for Binary and Ternary Mixtures of 1, 4-Dioxane + 1-Hexanol + N,N-Dimethylaniline from T ) (283.15 to 343.15) K Citation: J. Chem. Eng. Data,2008,53, 343-349,,,,,,,,
288,0.0061,liquid,Authors: Rodriguez, M.;Galan, M.;Munoz, M. J.;Martin, R. Title: Viscosity of triglycerides + alcohols from 278 to 313 K Citation: J. Chem. Eng. Data,1994,39, 102-105,,,,,,,,,
288.141,0.006203,liquid,Authors: Bilterys, R.;Gisseleire, J. Title: Investigations on the Congelation Temperature of Organic Compounds Citation: Bull. Soc. Chim. Belg.,1935,44,567,,,,,,,,,,,
288.141,0.006293,liquid,Authors: Hovorka, F.;Lankelma, H. P.;Stanford, S. C. Title: Thermodynamic Properties of the Hexyl Alcoholls II. 1-, 2- and 3-Hexanols and 2-Methyl-1 and -4-pentanol Citation: J. Am. Chem. Soc.,1938,60,820,,,,,,,,,
288.15,0.006308,liquid,Authors: Bajic, D.;Zivkovic, E.;Serbanovic, S.;Kijevcanin, M. Title: Volumetric and Viscometric Study of Binary Systems of Ethyl Butyrate with Alcohols Citation: J. Chem. Eng. Data,2014,59, 3677-3690,,,,,,,,,
288.15,0.0063507,liquid,Authors: Liew, K. Y.;Seng, C. E.;Ng, B. H. Title: Viscosities of long chain n-alcohols from 15 to 80.degree.C Citation: J. Solution Chem.,1993,22, 1033-1040,,,,,,,,,,
293,0.00518,liquid,Authors: Rodriguez, M.;Galan, M.;Munoz, M. J.;Martin, R. Title: Viscosity of triglycerides + alcohols from 278 to 313 K Citation: J. Chem. Eng. Data,1994,39, 102-105,,,,,,,,,
293.14537,0.0059,liquid,Authors: Baykut, S.;Tanrikulu, M. Title: Investigations of certain properties of n-acids and n-alcohols and some mathematical relationships between these properties and their carbon numbers Citation: Chim. Acta Turc.,1980,8, 69-76,,,,,,,,,,,
293.14537,0.005069,liquid,Authors: Moore, J. W.;Wellek, R. M. Title: Diffusion Coefficients of n-Heptane and n-Decane in n-Alkanes and n-Alcohols at Several Temperatures Citation: J. Chem. Eng. Data,1974,19,136,,,,,,,,,,,
293.15,0.00537,liquid,Authors: Al-Hayan, M. N. M.;Abdul-Latif, A.-H. M. Title: Excess molar volumes and viscosities of (1,1,2,2-tetrabromoethane + 1-alkanols) at T = (293.15 and 303.15) K Citation: J. Chem. Thermodyn.,2006,38, 68-74,,,,,,,,
293.15,0.0053614,liquid,Authors: Aljimaz, A. S.;Al-Kandary, J. A.;Abdul-Latif, A.-H. M. Title: Densities and viscosities for binary mixtures of phenetole with 1-pentanol, 1-hexanol, 1-heptanol, 1-octanol, 1-nonanol, and 1-decanol at different temperatures Citation: Fluid Phase Equilib.,2004,218, 247-60,,,,,
