T,P,x_2pe,eta
293.15,0.1,0.0,0.002353
303.15,0.1,0.0,0.001682
313.15,0.1,0.0,0.001247
323.15,0.1,0.0,0.000964
333.15,0.1,0.0,0.000757
293.15,0.1,0.104194568642053,0.003095
303.15,0.1,0.104194568642053,0.002161
313.15,0.1,0.104194568642053,0.0015760000000000001
323.15,0.1,0.104194568642053,0.001193
333.15,0.1,0.104194568642053,0.000934
293.15,0.1,0.201090673405402,0.004023
303.15,0.1,0.201090673405402,0.00276
313.15,0.1,0.201090673405402,0.001986
323.15,0.1,0.201090673405402,0.001484
333.15,0.1,0.201090673405402,0.0011279999999999999
293.15,0.1,0.300033004605369,0.0044800000000000005
303.15,0.1,0.300033004605369,0.003081
313.15,0.1,0.300033004605369,0.0022210000000000003
323.15,0.1,0.300033004605369,0.001663
333.15,0.1,0.300033004605369,0.001284
293.15,0.1,0.408179689951665,0.006064
303.15,0.1,0.408179689951665,0.0040490000000000005
313.15,0.1,0.408179689951665,0.002846
323.15,0.1,0.408179689951665,0.002132
333.15,0.1,0.408179689951665,0.0016200000000000001
293.15,0.1,0.492211673008868,0.0070610000000000004
303.15,0.1,0.492211673008868,0.004672
313.15,0.1,0.492211673008868,0.003264
323.15,0.1,0.492211673008868,0.002383
333.15,0.1,0.492211673008868,0.001805
293.15,0.1,0.604732715235313,0.008917999999999999
303.15,0.1,0.604732715235313,0.005879
313.15,0.1,0.604732715235313,0.0040739999999999995
323.15,0.1,0.604732715235313,0.002952
333.15,0.1,0.604732715235313,0.002214
293.15,0.1,0.701941849611573,0.009800000000000001
303.15,0.1,0.701941849611573,0.0063869999999999994
313.15,0.1,0.701941849611573,0.004488000000000001
323.15,0.1,0.701941849611573,0.003178
333.15,0.1,0.701941849611573,0.002384
293.15,0.1,0.801863852851034,0.01118
303.15,0.1,0.801863852851034,0.007247
313.15,0.1,0.801863852851034,0.004971000000000001
323.15,0.1,0.801863852851034,0.003675
333.15,0.1,0.801863852851034,0.002738
293.15,0.1,0.900170194342918,0.012660000000000001
303.15,0.1,0.900170194342918,0.008134
313.15,0.1,0.900170194342918,0.005554000000000001
323.15,0.1,0.900170194342918,0.003981
333.15,0.1,0.900170194342918,0.0029700000000000004
293.15,0.1,1.0,0.014039999999999999
303.15,0.1,1.0,0.008973
313.15,0.1,1.0,0.006102000000000001
323.15,0.1,1.0,0.004368
333.15,0.1,1.0,0.0032519999999999997
