source_doi,component_1_name,component_2_name,temperature_K,pressure_kPa,basis,x,y
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,808.2,mole,0.1803,0.449
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,826.7,mole,0.229,0.4867
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,823.3,mole,0.2292,0.4704
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,828.8,mole,0.2296,0.4919
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,836.3,mole,0.2505,0.4799
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,861.0,mole,0.3141,0.5252
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,862.4,mole,0.315,0.525
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,873.7,mole,0.3399,0.5301
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,886.7,mole,0.3702,0.5453
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,886.4,mole,0.3712,0.5457
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,890.1,mole,0.3941,0.5572
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,918.3,mole,0.4564,0.5952
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,919.0,mole,0.4598,0.5947
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,923.1,mole,0.491,0.6068
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,923.8,mole,0.4913,0.6063
10.1016/j.fluid.2012.12.014,ethanol,water,423.2,967.4,mole,0.9983,0.9993
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,125.7,mole,0.1601,0.4717
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,137.5,mole,0.2791,0.5328
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,143.3,mole,0.3696,0.581
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,144.4,mole,0.3963,0.5787
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,144.4,mole,0.4223,0.5787
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,144.0,mole,0.3993,0.5784
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,144.4,mole,0.3963,0.5971
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,144.4,mole,0.4223,0.5971
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,146.0,mole,0.4261,0.6157
10.1016/j.fluid.2012.12.014,ethanol,water,363.3,147.8,mole,0.4722,0.6061
